category,sentiment,sentiment_label
sport,-0.8316,negative
sport,-0.5017,negative
sport,0.9702,positive
sport,-0.7588,negative
sport,0.8885,positive
sport,0.9828,positive
sport,0.9042,positive
sport,0.9948,positive
sport,0.9974,positive
sport,0.9769,positive
sport,0.91,positive
sport,0.8731,positive
sport,0.9851,positive
sport,0.2018,positive
sport,-0.1655,negative
sport,0.4939,positive
sport,-0.985,negative
sport,0.9889,positive
sport,0.9985,positive
sport,0.9531,positive
sport,0.9958,positive
sport,0.9891,positive
sport,0.9889,positive
sport,0.9661,positive
sport,0.9678,positive
sport,0.5574,positive
sport,0.9788,positive
sport,0.9001,positive
sport,-0.3612,negative
sport,0.8885,positive
sport,0.991,positive
sport,0.9719,positive
sport,0.9885,positive
sport,0.9914,positive
sport,0.7512,positive
sport,0.8095,positive
sport,0.9959,positive
sport,0.9678,positive
sport,0.891,positive
sport,0.9979,positive
sport,0.9744,positive
sport,0.9972,positive
sport,-0.9941,negative
politics,0.9967,positive
politics,0.4767,positive
politics,0.5994,positive
politics,0.0046,neutral
politics,-0.4939,negative
business,-0.9559,negative
politics,0.5267,positive
business,0.985,positive
politics,-0.9301,negative
politics,0.9703,positive
politics,-0.8271,negative
politics,0.9946,positive
politics,-0.9883,negative
politics,-0.9642,negative
politics,-0.9678,negative
politics,0.9169,positive
politics,-0.9981,negative
politics,0.9097,positive
politics,0.9769,positive
business,0.2023,positive
business,0.9788,positive
politics,0.9628,positive
politics,-0.6249,negative
politics,0.6124,positive
politics,0.9756,positive
politics,-0.9801,negative
business,0.985,positive
politics,-0.8931,negative
politics,-0.9886,negative
politics,-0.9891,negative
politics,0.9678,positive
business,-0.4943,negative
business,-0.2023,negative
politics,0.9666,positive
politics,-0.9878,negative
politics,-0.9467,negative
politics,-0.9846,negative
business,-0.352,negative
sport,-0.9729,negative
politics,0.9806,positive
politics,0.9231,positive
politics,-0.7717,negative
sport,-0.6111,negative
politics,-0.872,negative
politics,0.9413,positive
politics,0.7478,positive
politics,-0.7898,negative
business,0.1298,positive
politics,0.9874,positive
business,0.8425,positive
business,0.9589,positive
sport,-0.9931,negative
politics,-0.9864,negative
politics,0.9538,positive
politics,0.9423,positive
politics,0.9768,positive
politics,-0.9649,negative
politics,0.6597,positive
politics,0.9947,positive
politics,0.8448,positive
politics,0.9344,positive
politics,0.4767,positive
politics,0.4737,positive
entertainment,0.0772,positive
politics,-0.9823,negative
politics,-0.9826,negative
politics,-0.8309,negative
politics,0.9313,positive
politics,0.9865,positive
politics,-0.9315,negative
politics,0.4588,positive
business,-0.7964,negative
politics,-0.4939,negative
politics,0.8229,positive
politics,-0.7951,negative
politics,-0.9779,negative
politics,0.5267,positive
politics,0.9617,positive
business,0.1335,positive
politics,0.9974,positive
politics,-0.891,negative
politics,0.9201,positive
politics,0.9846,positive
politics,0.9509,positive
politics,0.7089,positive
politics,-0.9781,negative
politics,-0.3818,negative
politics,-0.9042,negative
politics,-0.9118,negative
politics,0.9584,positive
politics,-0.9822,negative
politics,0.9664,positive
politics,-0.8845,negative
business,0.5571,positive
business,0.743,positive
politics,0.312,positive
politics,-0.9936,negative
politics,0.743,positive
politics,0.9073,positive
politics,0.9726,positive
politics,-0.9092,negative
politics,0.4728,positive
entertainment,-0.4404,negative
politics,-0.9187,negative
politics,0.3551,positive
business,-0.8271,negative
politics,0.994,positive
politics,0.7783,positive
sport,-0.3744,negative
politics,0.8718,positive
politics,0.9231,positive
politics,-0.8205,negative
politics,-0.2732,negative
politics,-0.919,negative
politics,0.8607,positive
politics,0.9345,positive
politics,-0.9763,negative
sport,-0.992,negative
sport,-0.962,negative
sport,0.9403,positive
sport,0.9729,positive
sport,0.9628,positive
sport,0.6605,positive
sport,0.9096,positive
sport,0.946,positive
sport,0.9908,positive
sport,0.9243,positive
sport,0.9957,positive
sport,-0.9501,negative
sport,0.9967,positive
sport,-0.966,negative
sport,0.872,positive
sport,0.9062,positive
sport,0.9973,positive
sport,0.9804,positive
sport,0.9732,positive
sport,0.785,positive
sport,0.91,positive
sport,0.9028,positive
sport,0.9931,positive
sport,0.9885,positive
sport,-0.7057,negative
sport,0.9871,positive
sport,0.2244,positive
sport,0.9959,positive
sport,0.993,positive
sport,0.9628,positive
sport,-0.0847,negative
sport,0.9794,positive
sport,0.765,positive
sport,0.0227,neutral
sport,0.9944,positive
sport,0.8687,positive
sport,0.984,positive
sport,0.9931,positive
sport,0.8722,positive
sport,0.9962,positive
sport,0.9852,positive
sport,0.5423,positive
sport,0.992,positive
sport,0.6249,positive
sport,0.7655,positive
sport,-0.6908,negative
sport,-0.9451,negative
sport,-0.0772,negative
sport,-0.8697,negative
sport,0.8712,positive
sport,0.9393,positive
sport,0.9914,positive
sport,0.9984,positive
sport,0.9771,positive
sport,-0.6124,negative
sport,0.9876,positive
sport,0.9612,positive
sport,0.9729,positive
sport,0.9863,positive
sport,0.891,positive
sport,-0.752,negative
sport,0.9975,positive
sport,-0.8074,negative
sport,0.9658,positive
sport,0.9552,positive
sport,0.0258,neutral
sport,0.9923,positive
tech,-0.9003,negative
tech,0.9153,positive
business,0.9897,positive
tech,0.9943,positive
entertainment,0.1027,positive
tech,-0.9509,negative
tech,0.9814,positive
tech,-0.9931,negative
tech,-0.9913,negative
entertainment,0.9932,positive
entertainment,0.9623,positive
tech,0.9706,positive
business,0.9843,positive
tech,0.7951,positive
business,-0.9022,negative
tech,0.9831,positive
business,0.9056,positive
entertainment,0.9962,positive
politics,0.9245,positive
tech,0.9313,positive
tech,0.8169,positive
business,0.9965,positive
sport,-0.9687,negative
sport,0.7779,positive
tech,0.9955,positive
tech,-0.9413,negative
tech,0.9545,positive
tech,0.9971,positive
business,-0.9705,negative
business,0.9741,positive
tech,0.998,positive
tech,0.802,positive
tech,0.9571,positive
business,0.9621,positive
tech,0.9217,positive
tech,0.9657,positive
business,0.9866,positive
tech,0.9935,positive
tech,0.8807,positive
business,-0.5267,negative
business,0.9905,positive
business,0.9921,positive
tech,0.5574,positive
tech,0.9744,positive
entertainment,0.9878,positive
tech,0.9949,positive
tech,-0.0534,negative
tech,-0.935,negative
entertainment,0.9843,positive
business,-0.9633,negative
sport,0.9974,positive
tech,0.9501,positive
tech,0.9717,positive
tech,0.9934,positive
tech,-0.9938,negative
business,0.9758,positive
tech,0.9934,positive
tech,0.9891,positive
politics,0.9245,positive
tech,-0.8074,negative
tech,0.9947,positive
entertainment,-0.4767,negative
tech,0.9217,positive
tech,0.8885,positive
entertainment,0.9766,positive
entertainment,0.5296,positive
business,0.9965,positive
tech,0.9652,positive
entertainment,0.9958,positive
tech,0.9502,positive
tech,0.9707,positive
tech,-0.8074,negative
tech,-0.9524,negative
tech,0.9559,positive
entertainment,0.8934,positive
tech,0.9948,positive
tech,-0.9003,negative
tech,0.9313,positive
tech,0.9707,positive
business,0.9509,positive
tech,0.9974,positive
business,0.91,positive
tech,0.9722,positive
tech,0.9796,positive
entertainment,0.9022,positive
tech,0.9796,positive
business,0.9413,positive
entertainment,0.9957,positive
tech,0.994,positive
entertainment,0.3182,positive
entertainment,0.946,positive
tech,0.9451,positive
business,-0.9022,negative
tech,-0.984,negative
business,0.9959,positive
business,0.8402,positive
entertainment,0.99,positive
entertainment,0.7351,positive
tech,0.5742,positive
tech,0.9808,positive
tech,0.9902,positive
tech,0.9941,positive
business,0.9413,positive
tech,0.9977,positive
politics,0.996,positive
tech,0.9313,positive
tech,-0.995,negative
tech,0.9978,positive
tech,0.9636,positive
entertainment,0.7906,positive
tech,0.7695,positive
tech,0.924,positive
business,0.9905,positive
entertainment,0.9866,positive
tech,0.9983,positive
business,0.9709,positive
tech,-0.9546,negative
tech,0.4184,positive
entertainment,0.998,positive
politics,-0.4015,negative
tech,-0.9509,negative
business,0.9931,positive
business,-0.3142,negative
tech,0.9678,positive
entertainment,0.9648,positive
entertainment,0.9709,positive
tech,-0.9872,negative
business,0.9805,positive
business,0.9393,positive
tech,-0.9404,negative
entertainment,0.9774,positive
tech,0.9612,positive
tech,-0.9256,negative
tech,0.9559,positive
business,0.9892,positive
tech,0.8439,positive
tech,-0.7172,negative
entertainment,0.9857,positive
tech,0.9982,positive
tech,0.8616,positive
entertainment,-0.9571,negative
tech,0.9767,positive
entertainment,0.5106,positive
tech,0.8616,positive
tech,0.9652,positive
tech,0.9871,positive
tech,-0.9911,negative
business,0.9423,positive
sport,0.4215,positive
tech,0.9889,positive
tech,0.9022,positive
business,-0.7902,negative
sport,0.8828,positive
tech,-0.9218,negative
tech,0.9814,positive
entertainment,0.9966,positive
tech,-0.7717,negative
entertainment,-0.6908,negative
tech,0.9623,positive
tech,0.9968,positive
entertainment,0.2263,positive
politics,-0.8442,negative
tech,0.9953,positive
tech,0.9371,positive
tech,0.9937,positive
business,0.9423,positive
tech,0.7553,positive
entertainment,0.9968,positive
tech,0.9855,positive
business,0.1649,positive
tech,0.9709,positive
tech,-0.3554,negative
tech,0.8402,positive
business,0.9837,positive
tech,-0.7717,negative
entertainment,0.9778,positive
tech,-0.8333,negative
tech,0.9831,positive
tech,0.9638,positive
tech,-0.6597,negative
tech,0.9776,positive
entertainment,0.9709,positive
tech,0.9889,positive
tech,0.9451,positive
entertainment,0.9819,positive
tech,0.9892,positive
business,0.9678,positive
business,0.9958,positive
tech,0.9932,positive
entertainment,0.9982,positive
sport,0.7779,positive
politics,0.9869,positive
business,0.9578,positive
tech,0.7304,positive
business,0.981,positive
tech,0.9916,positive
business,0.9843,positive
tech,0.9902,positive
tech,0.9744,positive
tech,0.9744,positive
business,0.9628,positive
politics,0.9709,positive
tech,0.9871,positive
business,0.9866,positive
tech,-0.4728,negative
tech,-0.9864,negative
tech,-0.9964,negative
sport,0.9914,positive
business,0.9741,positive
tech,0.5719,positive
tech,0.802,positive
entertainment,0.9976,positive
business,0.8932,positive
sport,0.7476,positive
sport,0.7634,positive
sport,-0.9186,negative
sport,0.9874,positive
sport,0.9317,positive
sport,-0.8957,negative
sport,0.9169,positive
sport,0.9477,positive
sport,0.9843,positive
sport,-0.9044,negative
sport,0.9246,positive
sport,-0.9834,negative
sport,0.4767,positive
sport,0.9607,positive
sport,0.9201,positive
sport,-0.9825,negative
sport,0.9959,positive
sport,0.9716,positive
sport,-0.9608,negative
sport,-0.7717,negative
sport,0.9246,positive
sport,-0.9709,negative
sport,0.9842,positive
sport,0.7269,positive
sport,-0.9477,negative
sport,0.9968,positive
sport,0.9705,positive
sport,-0.875,negative
sport,-0.7351,negative
sport,-0.9442,negative
sport,0.9274,positive
sport,0.9325,positive
sport,0.9971,positive
sport,0.9921,positive
sport,0.9628,positive
sport,0.9861,positive
sport,0.9923,positive
sport,-0.2023,negative
sport,0.9607,positive
sport,0.6369,positive
sport,0.981,positive
sport,-0.9828,negative
business,-0.743,negative
business,-0.9822,negative
tech,0.981,positive
tech,0.9678,positive
business,-0.9832,negative
tech,0.9299,positive
sport,0.9819,positive
tech,0.9816,positive
entertainment,0.9909,positive
business,-0.5267,negative
tech,0.0772,positive
tech,0.9274,positive
tech,0.926,positive
entertainment,0.9396,positive
tech,-0.9929,negative
tech,-0.8519,negative
business,0.9881,positive
business,0.7096,positive
tech,0.9919,positive
business,0.9778,positive
entertainment,0.9909,positive
tech,0.0772,positive
business,0.9826,positive
tech,0.9801,positive
tech,0.9978,positive
entertainment,0.9847,positive
tech,-0.8591,negative
tech,0.9638,positive
business,0.9865,positive
tech,0.9769,positive
tech,0.8885,positive
tech,-0.5423,negative
business,-0.8731,negative
tech,0.9217,positive
tech,0.8169,positive
tech,0.8689,positive
entertainment,0.9877,positive
business,0.975,positive
business,0.9976,positive
entertainment,0.9686,positive
business,0.9881,positive
tech,0.9814,positive
tech,0.9623,positive
tech,0.9764,positive
business,0.9552,positive
entertainment,0.9863,positive
tech,0.7357,positive
tech,0.9929,positive
tech,-0.9601,negative
entertainment,0.9903,positive
business,0.9153,positive
tech,0.9869,positive
tech,0.9887,positive
entertainment,-0.2732,negative
entertainment,0.9389,positive
tech,-0.9404,negative
tech,0.9814,positive
tech,0.9796,positive
entertainment,0.9898,positive
entertainment,0.994,positive
tech,-0.9964,negative
entertainment,0.296,positive
tech,0.9814,positive
tech,0.9783,positive
entertainment,0.946,positive
tech,0.4939,positive
tech,-0.9965,negative
business,-0.3182,negative
tech,-0.9925,negative
tech,0.9953,positive
politics,-0.985,negative
business,-0.9764,negative
business,0.9903,positive
entertainment,0.8957,positive
tech,0.6597,positive
business,0.1649,positive
tech,0.9795,positive
business,0.9938,positive
tech,-0.9965,negative
business,0.1531,positive
tech,0.9674,positive
entertainment,0.9956,positive
business,0.975,positive
tech,-0.9524,negative
tech,-0.9311,negative
business,0.9764,positive
tech,0.975,positive
business,0.9246,positive
tech,0.8925,positive
entertainment,0.9956,positive
tech,-0.8519,negative
sport,0.9732,positive
business,0.6808,positive
business,0.9423,positive
entertainment,0.9865,positive
tech,0.8522,positive
tech,-0.935,negative
entertainment,0.9984,positive
entertainment,0.7906,positive
tech,0.8689,positive
business,0.9633,positive
business,0.9991,positive
entertainment,-0.9094,negative
tech,-0.7245,negative
business,0.9843,positive
entertainment,0.9896,positive
tech,0.9434,positive
entertainment,0.9968,positive
tech,0.4404,positive
business,0.9984,positive
business,0.8173,positive
tech,0.4184,positive
tech,-0.9497,negative
entertainment,0.9953,positive
entertainment,0.8936,positive
tech,0.8591,positive
tech,-0.5423,negative
tech,0.9934,positive
business,0.6808,positive
tech,0.9747,positive
tech,0.5574,positive
sport,0.9976,positive
tech,0.8807,positive
business,0.9865,positive
entertainment,0.9896,positive
tech,0.9985,positive
tech,0.9317,positive
tech,0.8519,positive
entertainment,-0.9571,negative
tech,0.9317,positive
business,0.9837,positive
business,0.9413,positive
tech,-0.8779,negative
business,0.9905,positive
business,0.9899,positive
sport,0.9976,positive
entertainment,0.9922,positive
entertainment,0.9934,positive
tech,-0.9584,negative
tech,0.9956,positive
entertainment,-0.9859,negative
business,-0.9822,negative
business,0.9621,positive
tech,-0.9864,negative
tech,0.9986,positive
business,-0.743,negative
entertainment,0.9815,positive
business,0.9578,positive
entertainment,-0.5267,negative
tech,0.9368,positive
tech,-0.4728,negative
politics,-0.8931,negative
politics,0.5267,positive
politics,0.9919,positive
politics,-0.9842,negative
politics,-0.9846,negative
politics,-0.9951,negative
politics,-0.9801,negative
politics,0.9493,positive
politics,0.9887,positive
politics,-0.8822,negative
politics,0.8316,positive
politics,0.7717,positive
business,-0.9303,negative
politics,-0.9169,negative
business,-0.8651,negative
politics,0.8555,positive
politics,-0.9513,negative
business,-0.4404,negative
politics,0.9951,positive
business,0.9612,positive
politics,-0.8906,negative
politics,0.936,positive
politics,0.7003,positive
politics,-0.7717,negative
politics,0.9467,positive
politics,0.9559,positive
politics,-0.9832,negative
politics,0.994,positive
business,0.9612,positive
politics,0.966,positive
business,-0.9725,negative
politics,-0.9743,negative
politics,-0.942,negative
politics,0.987,positive
politics,0.4206,positive
business,0.5706,positive
politics,0.7579,positive
politics,0.9834,positive
politics,0.908,positive
politics,-0.9567,negative
politics,0.8229,positive
politics,0.959,positive
business,-0.9649,negative
politics,0.9993,positive
politics,-0.8847,negative
business,0.9578,positive
business,0.9788,positive
politics,0.12,positive
politics,-0.9426,negative
politics,-0.986,negative
politics,-0.9525,negative
business,0.93,positive
sport,-0.9022,negative
politics,0.5423,positive
politics,-0.9565,negative
politics,-0.9978,negative
politics,-0.4939,negative
politics,0.9868,positive
business,-0.513,negative
politics,-0.1245,negative
politics,-0.9811,negative
politics,-0.3296,negative
politics,0.9639,positive
sport,-0.984,negative
politics,0.9344,positive
politics,0.9825,positive
politics,-0.8074,negative
politics,-0.9578,negative
politics,-0.8271,negative
politics,0.6124,positive
politics,-0.9914,negative
politics,-0.9348,negative
sport,0.975,positive
politics,-0.9964,negative
politics,0.4228,positive
politics,-0.7503,negative
politics,0.3818,positive
politics,0.8634,positive
politics,0.9844,positive
politics,-0.9935,negative
politics,0.2225,positive
business,0.9904,positive
business,-0.9717,negative
politics,-0.2484,negative
politics,0.9578,positive
politics,0.9981,positive
business,-0.6124,negative
politics,0.9783,positive
politics,-0.7841,negative
politics,0.0516,positive
politics,-0.9823,negative
politics,0.9706,positive
business,0.9881,positive
politics,0.5106,positive
politics,-0.9888,negative
politics,-0.5535,negative
business,0.994,positive
politics,0.6726,positive
politics,-0.7351,negative
politics,0.9442,positive
politics,-0.3987,negative
sport,-0.9536,negative
politics,-0.0828,negative
politics,0.9601,positive
politics,0.9899,positive
business,0.6369,positive
politics,0.9729,positive
politics,-0.0516,negative
politics,0.9751,positive
business,0.9452,positive
business,0.93,positive
politics,0.9814,positive
politics,-0.8484,negative
politics,-0.9092,negative
politics,-0.9796,negative
sport,0.9442,positive
politics,-0.6249,negative
politics,0.967,positive
politics,0.9812,positive
politics,-0.7269,negative
politics,0.9171,positive
business,0.7269,positive
politics,0.9976,positive
politics,-0.9805,negative
business,0.8554,positive
politics,-0.9862,negative
politics,0.9678,positive
politics,0.9601,positive
politics,0.9325,positive
politics,-0.9948,negative
politics,0.966,positive
politics,0.9905,positive
sport,0.9595,positive
politics,0.9403,positive
politics,-0.9485,negative
politics,-0.9943,negative
politics,-0.7964,negative
politics,0.1531,positive
politics,-0.9354,negative
politics,0.7245,positive
politics,0.7778,positive
politics,0.8442,positive
politics,0.9935,positive
politics,0.5574,positive
politics,-0.9954,negative
politics,0.9821,positive
politics,-0.9865,negative
politics,-0.9783,negative
politics,-0.967,negative
politics,0.5106,positive
politics,0.9171,positive
politics,0.0516,positive
business,0.7964,positive
politics,0.9801,positive
politics,0.9595,positive
politics,0.9625,positive
politics,-0.9688,negative
politics,0.6249,positive
politics,0.9938,positive
politics,-0.9901,negative
politics,0.7758,positive
politics,-0.8278,negative
politics,0.8591,positive
politics,0.9042,positive
politics,0.9203,positive
politics,0.9998,positive
sport,-0.9966,negative
politics,0.9883,positive
politics,0.8957,positive
politics,0.7579,positive
politics,0.9347,positive
politics,0.875,positive
politics,0.961,positive
politics,-0.9911,negative
politics,0.9949,positive
politics,-0.4512,negative
politics,-0.7552,negative
entertainment,0.8402,positive
entertainment,0.9952,positive
entertainment,0.9231,positive
entertainment,0.8779,positive
entertainment,0.9081,positive
politics,-0.4818,negative
entertainment,0.9601,positive
entertainment,0.9823,positive
entertainment,0.9726,positive
entertainment,0.7506,positive
entertainment,0.7506,positive
entertainment,-0.9744,negative
sport,0.9909,positive
entertainment,0.9403,positive
entertainment,0.6519,positive
entertainment,0.6998,positive
entertainment,0.9393,positive
entertainment,0.9874,positive
entertainment,0.9971,positive
entertainment,0.8126,positive
entertainment,0.9452,positive
entertainment,0.9589,positive
entertainment,0.9921,positive
entertainment,0.4215,positive
entertainment,0.9911,positive
entertainment,0.959,positive
entertainment,0.9923,positive
entertainment,0.9623,positive
entertainment,0.9702,positive
entertainment,-0.5423,negative
business,-0.7906,negative
entertainment,0.8225,positive
entertainment,-0.6908,negative
entertainment,0.9601,positive
entertainment,0.9769,positive
entertainment,0.9955,positive
entertainment,0.983,positive
entertainment,0.9873,positive
entertainment,0.9959,positive
entertainment,0.9709,positive
entertainment,0.9859,positive
entertainment,-0.9966,negative
entertainment,-0.9578,negative
sport,0.9983,positive
entertainment,0.8225,positive
entertainment,0.8442,positive
entertainment,-0.9042,negative
entertainment,0.9962,positive
entertainment,0.9987,positive
entertainment,0.8488,positive
entertainment,0.9858,positive
entertainment,0.9062,positive
entertainment,0.1027,positive
entertainment,0.875,positive
entertainment,0.9994,positive
entertainment,0.9961,positive
entertainment,0.9975,positive
entertainment,0.9589,positive
entertainment,0.2484,positive
entertainment,0.5423,positive
entertainment,0.9903,positive
entertainment,0.9995,positive
entertainment,-0.9947,negative
entertainment,-0.9519,negative
entertainment,-0.8498,negative
business,0.9153,positive
entertainment,-0.6486,negative
entertainment,0.9915,positive
entertainment,0.9801,positive
entertainment,0.9965,positive
entertainment,0.9997,positive
entertainment,0.9898,positive
entertainment,0.6908,positive
entertainment,0.9982,positive
entertainment,0.9382,positive
entertainment,-0.9906,negative
entertainment,0.4019,positive
entertainment,0.9638,positive
entertainment,0.9222,positive
entertainment,0.9858,positive
entertainment,-0.9751,negative
entertainment,0.6705,positive
entertainment,0.9918,positive
entertainment,0.5423,positive
entertainment,-0.0772,negative
entertainment,0.6597,positive
entertainment,-0.9661,negative
entertainment,0.9974,positive
sport,-0.6007,negative
entertainment,0.9965,positive
entertainment,1.0,positive
entertainment,0.9977,positive
entertainment,0.9926,positive
entertainment,0.9993,positive
entertainment,0.9571,positive
entertainment,0.9991,positive
entertainment,0.9831,positive
entertainment,-0.9124,negative
entertainment,0.9925,positive
entertainment,0.997,positive
entertainment,0.9968,positive
sport,0.9909,positive
entertainment,0.9792,positive
entertainment,0.9648,positive
entertainment,0.9866,positive
entertainment,0.9732,positive
entertainment,0.9922,positive
business,0.9836,positive
business,0.9898,positive
politics,0.6319,positive
politics,0.9724,positive
politics,0.9773,positive
politics,0.9638,positive
politics,0.9217,positive
politics,-0.9846,negative
politics,0.9709,positive
politics,0.9524,positive
politics,-0.9948,negative
politics,0.9337,positive
politics,-0.9517,negative
politics,-0.9863,negative
politics,-0.9668,negative
business,-0.0772,negative
politics,0.9818,positive
politics,0.9741,positive
politics,0.9717,positive
business,0.8934,positive
politics,0.99,positive
politics,0.9904,positive
politics,-0.9186,negative
politics,0.9903,positive
politics,-0.8481,negative
politics,0.9648,positive
politics,-0.9873,negative
politics,0.9616,positive
politics,-0.919,negative
politics,0.5423,positive
politics,0.9711,positive
politics,-0.9261,negative
politics,0.993,positive
politics,0.8241,positive
politics,0.9969,positive
politics,-0.2766,negative
politics,0.95,positive
politics,0.8957,positive
politics,0.9814,positive
entertainment,0.8976,positive
politics,0.8258,positive
politics,0.9806,positive
politics,0.9118,positive
politics,-0.9756,negative
politics,0.9403,positive
politics,0.9753,positive
politics,-0.9973,negative
politics,-0.9829,negative
politics,-0.7269,negative
politics,-0.6411,negative
politics,0.9246,positive
politics,0.9063,positive
politics,0.8442,positive
politics,0.989,positive
politics,0.9601,positive
politics,-0.8845,negative
sport,-0.9855,negative
politics,-0.9968,negative
politics,-0.9998,negative
politics,-0.9168,negative
politics,0.9022,positive
politics,0.9935,positive
politics,0.9516,positive
sport,0.8463,positive
politics,0.323,positive
politics,-0.9939,negative
politics,0.9887,positive
politics,0.9799,positive
politics,-0.9969,negative
business,0.9747,positive
politics,-0.0772,negative
politics,0.1779,positive
politics,0.9901,positive
politics,0.9829,positive
politics,0.4767,positive
politics,0.9493,positive
sport,0.9186,positive
politics,-0.9911,negative
politics,0.8988,positive
politics,0.9934,positive
sport,-0.9887,negative
tech,0.9674,positive
tech,-0.9864,negative
politics,0.9893,positive
tech,-0.8724,negative
tech,0.91,positive
tech,0.9989,positive
business,0.9921,positive
entertainment,0.9903,positive
entertainment,0.9726,positive
business,-0.7003,negative
tech,-0.9311,negative
tech,0.9246,positive
tech,0.9583,positive
tech,0.875,positive
business,0.7003,positive
tech,0.9796,positive
tech,0.9771,positive
business,0.9955,positive
tech,0.9923,positive
tech,-0.9413,negative
tech,0.9545,positive
tech,0.9971,positive
business,-0.9705,negative
business,0.9741,positive
tech,0.998,positive
tech,0.802,positive
tech,0.9571,positive
business,0.9621,positive
tech,0.9217,positive
tech,0.9657,positive
business,0.9866,positive
tech,0.9935,positive
tech,0.8807,positive
business,-0.5267,negative
business,0.9905,positive
business,0.9921,positive
tech,0.5574,positive
tech,0.9744,positive
entertainment,0.9878,positive
tech,0.9949,positive
tech,-0.0534,negative
tech,-0.935,negative
entertainment,0.9843,positive
business,-0.9633,negative
sport,0.9974,positive
tech,0.9501,positive
tech,0.9717,positive
tech,0.9934,positive
tech,-0.9938,negative
business,0.9758,positive
tech,0.9934,positive
tech,0.9891,positive
politics,0.9245,positive
tech,-0.8074,negative
tech,0.9947,positive
entertainment,-0.4767,negative
tech,0.9217,positive
tech,0.8885,positive
entertainment,0.9766,positive
entertainment,0.5296,positive
business,0.9965,positive
tech,0.9652,positive
entertainment,0.9958,positive
tech,0.9502,positive
tech,0.9707,positive
tech,-0.8074,negative
tech,-0.9524,negative
tech,0.9559,positive
entertainment,0.8934,positive
tech,0.9948,positive
tech,-0.9003,negative
tech,0.9313,positive
tech,0.9707,positive
business,0.9509,positive
tech,0.9974,positive
business,0.91,positive
tech,0.9722,positive
tech,0.9796,positive
entertainment,0.9022,positive
tech,0.9796,positive
business,0.9413,positive
entertainment,0.9957,positive
tech,0.994,positive
entertainment,0.3182,positive
